<pre>DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
58:01.5,36.38567,-120.96083,1.538,2.81,Md,8,93,7,0.03,NCSN,1005902
42:05.0,35.99967,-120.57117,4.39,1.99,Md,6,164,11,0.02,NCSN,1005905
07:56.8,36.19767,-120.754,7.767,1.67,Md,6,198,4,0.01,NCSN,1005908
12:09.9,35.7995,-120.351,9.203,3.3,Md,7,281,3,0.09,NCSN,1005915
11:58.4,36.318,-120.89167,1.435,2.06,Md,8,150,14,0.02,NCSN,1005918
00:06.1,36.176,-120.7585,4.026,2.15,Md,8,147,6,0.1,NCSN,1005923
31:05.0,36.04617,-120.62217,9.078,1.95,Md,5,168,12,0.01,NCSN,1005934
06:04.6,35.79967,-120.349,8.866,2.09,Md,4,284,3,0,NCSN,1005996
03:14.5,35.9935,-120.5635,5.425,1.89,Md,8,163,10,0.08,NCSN,1006003
42:08.7,35.99883,-120.60033,1.58,1.81,Md,6,147,13,0.09,NCSN,1006014
01:41.2,36.276,-120.84967,3.151,2.38,Md,4,130,8,0,NCSN,1006015
52:49.1,36.02383,-120.606,5.445,1.76,Md,7,164,14,0.01,NCSN,1006035
13:42.0,35.99933,-120.56517,3.735,1.54,Md,8,166,10,0.04,NCSN,1006040
28:30.7,36.09533,-120.67184,4.461,2.11,Md,7,126,5,0.06,NCSN,1006044
41:52.3,36.15417,-120.64917,5.785,3.08,Md,9,205,2,0.05,NCSN,1006071
16:27.8,36.32,-120.89584,8.91,2.63,Md,6,97,9,0.04,NCSN,1006082
47:55.5,35.99517,-120.88284,12.745,2.21,Md,8,171,19,0.05,NCSN,1006087
36:57.6,36.0115,-120.57584,6.165,1.92,Md,6,169,12,0,NCSN,1006114
38:26.3,36.273,-120.8385,7.696,2.82,Md,8,141,7,0.03,NCSN,1006127
14:59.8,36.00583,-120.87767,8.565,1.56,Md,8,167,18,0.05,NCSN,1006128
30:36.1,35.957,-120.56133,6.845,1.18,Md,5,156,8,0.01,NCSN,1006153
50:30.3,36.21867,-120.77717,6.074,2.63,Md,11,163,2,0.08,NCSN,1006155
53:57.1,36.31683,-120.89133,3.756,2.45,Md,7,96,9,0.03,NCSN,1006156
23:43.6,36.04667,-120.61833,6.418,2.79,Md,6,170,12,0.04,NCSN,1006163
14:07.0,36.26983,-120.8465,5.946,3.28,Md,8,131,7,0.03,NCSN,1006176
40:46.7,35.99267,-120.53333,10.045,2.11,Md,7,177,7,0.06,NCSN,1006193
16:18.9,35.98883,-120.57283,2.463,1.26,Md,7,151,10,0.11,NCSN,1006196
06:22.4,35.993,-120.5595,11.335,1.92,Md,8,172,9,0.05,NCSN,1006201
55:21.6,36.09317,-120.68884,2.971,1.93,Md,7,150,4,0.02,NCSN,1006203
21:15.7,36.2465,-120.80933,6.6,2.15,Md,6,156,14,0.02,NCSN,1006207
34:20.5,36.27433,-120.85167,6.09,2.22,Md,6,133,11,0.02,NCSN,1006210
53:22.9,36.26367,-120.82917,10.933,2.52,Md,6,146,12,0.02,NCSN,1006217
21:57.6,36.22217,-120.79366,6.04,1.96,Md,8,143,14,0.05,NCSN,1006235
25:10.0,35.95817,-120.52683,-0.385,1.45,Md,5,152,5,0.01,NCSN,1006239
27:36.7,35.949,-120.49567,10.808,3,ML,11,128,2,0.08,NCSN,1006251
